"","intercept","slope","r.squared","F.statistic","p.value"
"lm_I1",0.0686263121206886,0.00765477052090139,0.621254577117463,49.2088780154159,8.51926669047009e-08
"lm_P1",37.9548599763988,0.000364252358493312,0.021536869262521,389.54918201242,8.67461555104408e-86
"lm_P2",-3.85131152406088,0.000933361208520067,0.00959947808315463,29.3392617579303,6.55097406739125e-08
"lm_P3",0.00680013102060949,0.00134665249603753,0.232313578702392,2.72353678574573,0.133275952079355
"lm_P4",0.00929000000000001,-1.02219561112225e-17,NA,NA,NA
"lm_P5",-0.0172557224910172,1.04070472184005,0.605743142370175,47.6289430356757,9.72722953165712e-08
"lm_PL1",-0.000343424999999992,0.000152499999999997,1,NA,NA
"lm_PL2",2.57633257445676,9.70357409872131e-05,0.0148266421747683,2.34776566062414,0.12748816361192
"lm_PL4",2.28928509448755e-06,2.80856755782055e-07,0.0281834521378093,3.42209376818833,0.0668312825188675
"lm_PL5",1.07024376987521e-06,3.63260944699444e-06,0.0763315504427213,21.65156363799,5.19518130117452e-06
"lm_PR1",0.0511748190685288,0.000968133409598165,0.0702164807756489,158.590259538987,4.12858422954432e-35
"lm_PR2",7.48346892686181,0.000877971824293563,0.076096790112405,653.067813104218,1.72637702925099e-138
"lm_PR3",4.59987331094896e-06,1.97722797096592e-05,0.321359300269679,572.975881760159,5.60208041878814e-104
"lm_PR4",0.00197114511445654,0.000772205990148134,0.126808753413814,70.4338776254893,5.25237217935058e-16
"lm_PR5",-0.0100243331777109,0.026501215774451,0.046276154857748,28.5306686992787,1.32011188235223e-07
"lm_PR6",0.31217435118383,-1.22770004677239,0.0105760559264123,0.748237314533598,0.389989666306616
"lm_PP1",9.44882578563793,0.0162717901170883,0.194433583643607,38.3766492391315,4.79389028064073e-09
